"","time","tavg","tmin","tmax","prcp","snow","wdir","wspd","wpgt","pres"
"233","1973-08-21",22.2,18.1,25.9,0,0,230,11.5,29.5,1015.7
"234","1973-08-22",20.4,17.6,24.2,0,0,NA,11.8,44.3,1014.3
"235","1973-08-23",19.5,15.4,23.7,0,0,135.8,10.9,31.3,1012.4
"236","1973-08-24",19.8,15.9,23.7,0,0,NA,10,29.5,1011.1
"237","1973-08-25",20.1,18.1,24.2,0,0,162.3,10.8,27.7,1010.6
"238","1973-08-26",19.4,17,22.6,0,0,193.6,15.3,31.3,1012.3
"239","1973-08-27",19.3,16.5,22.6,0,0,220.4,13.7,37.1,1013.8
"240","1973-08-28",18.4,15.9,22.6,0,0,256.6,12.6,33.5,1013.2
"241","1973-08-29",18.6,15.9,22,0,0,NA,12.8,29.5,1012
"242","1973-08-30",18.1,16.5,21.5,0,0,236.9,12,33.5,1011.5
"243","1973-08-31",17.9,15.4,21.5,0,0,237.7,11.1,29.5,1012
"244","1973-09-01",18.1,15.4,23.1,0,0,217.5,11.2,29.5,1012.1
"245","1973-09-02",18.1,15.4,22.6,0,0,247.5,11.9,37.1,1014.3
"246","1973-09-03",17.6,16.5,19.8,0,0,259.2,13.4,31.3,1013.9
"247","1973-09-04",17.2,16.5,18.7,0,0,167.5,12,29.5,1013.8
"248","1973-09-05",18.3,15.4,21.5,0,0,249.5,15.7,37.1,1014
"249","1973-09-06",18,13.7,22,0,0,238.5,9.9,27.7,1010.7
"250","1973-09-07",18.7,15.4,23.1,0,0,NA,9.7,27.7,1007.6
"251","1973-09-08",20.2,18.1,25.4,0,0,140.5,12.4,27.7,1008.9
"252","1973-09-09",19.8,18.7,23.1,0,0,196.4,11.2,29.5,1013.1
"253","1973-09-10",19.1,18.1,21.5,0,0,243.2,11.8,24.1,1016.3
"254","1973-09-11",19.5,17.6,22.6,0,0,253.4,16.6,35.3,1014.8
"255","1973-09-12",18.6,17,22,0,0,223.4,10.7,27.7,1013.2
"256","1973-09-13",17.8,17,19.8,0,0,250.5,10.8,27.7,1015.4
"257","1973-09-14",18.2,17,21.5,0,0,256.2,10.7,25.9,1015.6
"258","1973-09-15",18,15.9,22,0,0,252.5,12.1,29.5,1014.3
"259","1973-09-16",17.5,15.9,21.5,0,0,237.2,12.3,27.7,1015.3
"260","1973-09-17",17.7,15.4,21.5,0,0,246.4,11.3,27.7,1016.6
"261","1973-09-18",17.1,15.4,20.9,0,0,218,11.3,25.9,1016.4
"262","1973-09-19",17.4,15.4,20.9,0,0,236.5,10.3,25.9,1014.8
"263","1973-09-20",17.6,14.8,21.5,0,0,224.9,8.7,27.7,1014.6
"264","1973-09-21",18.4,14.8,23.1,0,0,180.6,10.9,27.7,1013.2
"265","1973-09-22",18.1,15.4,20.9,0,0,209,11.3,27.7,1013.9
"266","1973-09-23",18.3,14.8,22.6,0,0,221.4,11.2,29.5,1013
"267","1973-09-24",18.2,14.2,22.6,0,0,NA,10.3,29.5,1010.7
"268","1973-09-25",19,15.4,22,0,0,171.4,11.4,33.5,1009.8
"269","1973-09-26",23.8,14.8,33.7,0,0,163.3,11.6,33.5,1012.4
"270","1973-09-27",25.8,17,36.5,0,0,188.7,11,29.5,1014.9
"271","1973-09-28",23.6,18.1,33.7,0,0,153.3,10.3,27.7,1014.7
"272","1973-09-29",18.6,15.4,22,0,0,236.8,9.6,24.1,1014.2
"273","1973-09-30",17.4,14.2,21.5,0,0,228.7,11.1,27.7,1014.2
"274","1973-10-01",17.5,15.4,20.9,0,0,244.9,12.1,31.3,1015.4
"275","1973-10-02",17.3,14.2,21.5,0,0,243.7,10.3,31.3,1016.3
"276","1973-10-03",16.6,12.6,20.9,0,0,208,10.1,31.3,1015.9
"277","1973-10-04",16.6,13.1,20.9,0,0,223,10,31.3,1012.6
"278","1973-10-05",16.6,14.2,22,0,0,147.9,9.4,27.7,1011.7
"279","1973-10-06",16.6,15.4,19.2,0,0,183.5,11,25.9,1014.9
"280","1973-10-07",16.8,15.4,20.4,0,0,250,12.3,33.5,1015.5
"281","1973-10-08",16.3,13.7,20.4,1,0,158.8,14.1,35.3,1013.2
"282","1973-10-09",16.6,12,22.6,0,0,245.6,10.5,33.5,1011.8
"283","1973-10-10",17.3,12,22.6,0,0,214.6,12.9,40.7,1012.5
"284","1973-10-11",17.1,12.6,22.6,0,0,206.7,11.3,29.5,1010.7
"285","1973-10-12",17.3,12.6,22.6,0,0,168.2,10.3,27.7,1012.6
"286","1973-10-13",19.1,14.2,25.4,0,0,243.1,10.1,25.9,1013.8
"287","1973-10-14",17.6,13.7,25.4,0,0,NA,10.1,25.9,1014.7
"288","1973-10-15",15.4,13.1,19.8,0,0,249.4,10.5,29.5,1015.5
"289","1973-10-16",15.1,13.1,18.7,0,0,252.3,9.2,24.1,1014.6
"290","1973-10-17",16.2,11.5,22.6,0,0,258.5,10.2,27.7,1016
"291","1973-10-18",19.8,14.8,28.7,0,0,253.1,9.4,31.3,1016.6
"292","1973-10-19",19.7,14.2,30.4,0,0,NA,8.9,25.9,1014.6
"293","1973-10-20",16.4,14.2,20.9,0,0,NA,12.4,27.7,1014.5
"294","1973-10-21",16.6,15.4,20.9,0,0,239.9,9.8,25.9,1015.2
"295","1973-10-22",16.9,15.4,20.9,0,0,246.2,8.3,20.5,1016.9
"296","1973-10-23",17,13.7,19.8,1,0,181.4,12.2,29.5,1018.7
"297","1973-10-24",16.5,12,22.6,0,0,136,9.8,29.5,1014.4
"298","1973-10-25",16.1,13.1,23.1,0,0,105.2,9.8,24.1,1012.6
"299","1973-10-26",16.7,14.2,22,0,0,105.3,10.9,27.7,1013.5
"300","1973-10-27",19.9,12.6,32.6,0,0,279.9,8.5,22.3,1015.8
"301","1973-10-28",20.4,13.7,30.9,0,0,163.6,8.4,25.9,1015.6
"302","1973-10-29",18.6,11.5,28.7,0,0,141.5,8.1,22.3,1014.1
"303","1973-10-30",20.5,13.1,30.4,0,0,228.8,10.1,27.7,1016.5
"304","1973-10-31",19.2,12.6,28.1,0,0,96.2,9.3,22.3,1013.9
"305","1973-11-01",17.3,13.7,22,0,0,127.4,9.4,25.9,1011.3
"306","1973-11-02",16.5,14.8,19.8,0,0,249.7,10.1,24.1,1015
"307","1973-11-03",15.7,12.6,20.4,0,0,148.8,10,27.7,1018.2
"308","1973-11-04",14.3,9.2,19.8,0,0,NA,9.7,25.9,1019.4
"309","1973-11-05",14.3,9.2,19.2,0,0,NA,8.6,27.7,1019.9
"310","1973-11-06",15,9.2,20.9,0,0,190.8,8,24.1,1020.3
"311","1973-11-07",16.3,11.5,22,0,0,182.4,8.1,22.3,1018.5
"312","1973-11-08",16.7,14.8,20.4,0,0,261.9,9.4,22.3,1017.3
"313","1973-11-09",15.6,14.8,18.1,0,0,290.7,11.1,24.1,1019.1
"314","1973-11-10",16.4,13.7,20.9,0,0,251.2,9.8,24.1,1020.2
"315","1973-11-11",18,13.7,24.8,0,0,NA,8.4,20.5,1019.6
"316","1973-11-12",16.6,14.2,22,0,0,247.6,13.3,33.5,1018.5
"317","1973-11-13",15.1,12.6,18.7,0,0,233.1,13.5,37.1,1018.2
"318","1973-11-14",14.6,10.4,18.7,0,0,28.7,9.4,27.7,1020.3
"319","1973-11-15",14.1,9.2,19.2,0,0,219,10.9,31.3,1018.8
"320","1973-11-16",14.1,9.2,18.1,14.5,0,152.7,9.7,24.1,1017.7
"321","1973-11-17",15.5,14.2,17,2,0,141.2,14.1,42.5,1016.7
"322","1973-11-18",14.2,10.9,17,7.1,0,272.3,19.6,59,1014.5
"323","1973-11-19",13.3,10.4,17.6,0,0,314,17.6,44.3,1017.8
"324","1973-11-20",12.4,8.1,18.1,0,0,112.9,10.2,25.9,1016.8
"325","1973-11-21",13.4,10.9,17.6,0.3,0,337.4,12.4,29.5,1013.6
"326","1973-11-22",11.8,8.7,15.4,24.9,0,78.3,11.3,48.2,1014.8
"327","1973-11-23",11.2,7,15.4,0,0,305.6,10.4,27.7,1016.4
"328","1973-11-24",11.1,6.5,14.8,0,0,63.6,11.4,40.7,1016
"329","1973-11-25",12.4,8.1,17,0,0,327.9,14.7,31.3,1011.7
